node_uuid,creator,titleproper,extent,label,type,date,format,rights_statements,identifier
423423df-eb28-4812-9612-53b0308eaf8f,"Steinmetz, Charles Proteus","Possible Editorial on the American President by Steinmetz, 1916",1 page,"Possible Editorial on the American President by Steinmetz, 1916",Archive Component,1916-10-21,application/pdf,No Copyright - United States,ZWU_SCA0142_AmericanPresident_19161021
236ed7aa-e77c-4365-8164-6bf40f2ed4e6,"Steinmetz, Charles Proteus",Check for $399.14 from Charles Steinmetz to J.H. Piernardi,1 page,Check for $399.14 from Charles Steinmetz to J.H. Piernardi,Archive Component,1904-04-19,application/pdf,No Copyright - United States,ZWU_SCA0142_Check_19040419
61a9552d-307c-499a-90a3-3770a21f9338,"Steinmetz, Charles Proteus","Comments on Edison, with Pencilled in note, ""For N.Y. Times, Sunday Ed.""",5 pages,"Comments on Edison, with Pencilled in note, ""For N.Y. Times, Sunday Ed.""",Archive Component,1915-02-27,application/pdf,No Copyright - United States,ZWU_SCA0142_COMMENTSONEDISON_19150227_04
5683f8aa-c7cf-40d3-8ebb-fd75aa6a3638,"Steinmetz, Charles Proteus","Conservation, with edits",4 pages,"Conservation, with edits",Archive Component,1915-03-22,application/pdf,No Copyright - United States,ZWU_SCA0142_CONSERVATION_19150322_02
0a42bdec-6d7a-4939-8d39-0ab793ef230d,"Steinmetz, Charles Proteus","Cooperation, with edits",3 pages,"Cooperation, with edits",Archive Component,1917-01-15,application/pdf,No Copyright - United States,ZWU_SCA0142_COOPERATION_19170115
4bc2563f-2e5f-47ca-a234-8bc0cae06f55,"Steinmetz, Charles Proteus","Discussion of ""Fixation of Atmospheric Nitrogen"" by Leland L. Summers by Steinmetz",3 pages,"Discussion of ""Fixation of Atmospheric Nitrogen"" by Leland L. Summers by Steinmetz",Archive Component,1915-03-11,application/pdf,No Copyright - United States,ZWU_SCA0142_DISCUSSIONOFFIXATIONOFATMOSPHERICNITROGEN_19150311
0b636e5b-1b73-4fbf-a5e9-20d134fb34dc,"Steinmetz, Charles Proteus",Text of a Speech Given by Steinmetz at the Tenth Anniversary of the Illuminating Engineering Society to Indtroduce Thomas Edison as a Speaker,4 pages,Text of a Speech Given by Steinmetz at the Tenth Anniversary of the Illuminating Engineering Society to Indtroduce Thomas Edison as a Speaker,Archive Component,1916-02-10,application/pdf,No Copyright - United States,ZWU_SCA0142_EDISON_19160210
719956a2-a76c-4cfb-a568-18a3bf1aa18f,"Steinmetz, Charles Proteus","Brief Note Regarding Einstein's Theory of Relativity, probably suggested editorial for the National Editorial service, 1915",1 page,"Brief Note Regarding Einstein's Theory of Relativity, probably suggested editorial for the National Editorial service, 1915",Archive Component,1915-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_EINSTEINSTHEORYOFRELATIVITY_undated
75e7a41f-9994-46ef-9147-9d264e3fa58a,"Steinmetz, Charles Proteus","Brief Note Regarding Electricity and Civilization, probably suggested editorial for the National Editorial service, 1915",1 page,"Brief Note Regarding Electricity and Civilization, probably suggested editorial for the National Editorial service, 1915",Archive Component,1915-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_ELECTRICITYANDCIVILIAZATION_undated
155c41ae-877e-4c71-a095-99dcf17c5350,"Steinmetz, Charles Proteus","Electrification of Russia with pencil marks, 1922",4 pages,"Electrification of Russia with pencil marks, 1922",Archive Component,1922-08-01,application/pdf,No Copyright - United States,ZWU_SCA0142_ELECTRIFICATIONOFRUSSIA_19220800
